"A","Mazsxdc,Migue","777F","3062.58","Contabilidad"
"C","Hytgbvfr,Marco","marco4531marcohytgbvfr@mail.com","Nuevo"
"A","Maqswde,Javi","759A","3421.45","Contabilidad"
"D","Wertyui,Lisa","813T","3857","2564"
"A","Mazsxdc,Migue","456F","2977.77","Contabilidad"
"A","Aasdfgh,Uti","492S","2350","Publicidad"
"C","Zaqwsxcde,Ele","elezaqwsxcde@mail2.com","Pref"
"C","Jhgfdsa,Dan","dan.jhgfdsa@mail.com","Pref"
"G","Poiuyt,Oti","774B","1757.73","Compras,500.15"
"G","Yhnujm,Bene","901J","1975","Ventas,458"
"C","Koijnbhuygvcft,Isaisa","isakoijnbhu@mail2.com","Pref"
"A","Bhunjimko,Davi","017H","1498.25","RRHH"
"G","Awsxedc,Basi","467B","2057","Ventas,575.01"
"C","Cdewsxza,Sa","sa.cdewsxza@mimail.com","Nuevo"
